item_no,section,length_mm,qty,pc_wt,net_kg,gross_kg,material,remarks,surface_area_m2,assembly_mark,assembly_qty,drawing_no
4DC3,PIPE508*6,2233.9,1,155.47,155.47,155.47,YST 240,,3.36,4DC3,1,TST-SFD-46-01-01-07-000-09970
4m665,PIPE508*6,2054.9,1,132.45,130.65,132.45,YST 240,,2.83,4DC3,1,TST-SFD-46-01-01-07-000-09970
4m666,PIPE508*6,1184.2,1,77.82,77.82,77.82,YST 240,,1.69,4DC3,1,TST-SFD-46-01-01-07-000-09970
4m706,PIPE219.1*5.4,325.3,1,9.18,8.82,9.18,YST 240,,0.22,4DC3,1,TST-SFD-46-01-01-07-000-09970
4m707,ROD20,301.4,1,0.74,0.74,0.74,E250A,,0.02,4DC3,1,TST-SFD-46-01-01-07-000-09970
4p637,PL10*150,832.5,2,9.8,19.6,19.61,E350A,,0.27,4DC3,1,TST-SFD-46-01-01-07-000-09970
4p638,PL6*50,807.4,2,1.9,3.8,3.8,E350A,,0.09,4DC3,1,TST-SFD-46-01-01-07-000-09970
4p639,PL8*94,150.0,4,0.89,3.27,3.55,E350A,,0.03,4DC3,1,TST-SFD-46-01-01-07-000-09970
4p640,PL8*155,173.0,4,1.68,6.7,6.72,E350A,,0.06,4DC3,1,TST-SFD-46-01-01-07-000-09970
4p641,PL8*83,150.0,4,0.78,2.37,3.13,E350A,,0.02,4DC3,1,TST-SFD-46-01-01-07-000-09970
4p660,PL10*358,358.3,2,10.08,15.88,20.15,E350A,,0.21,4DC3,1,TST-SFD-46-01-01-07-000-09970
